table,N,LightLevel,block,rep,spp,chl_wt,chl_area,A6491,A6491.1,A6491.2,A6651,A6651.1,A6651.2,tla,focal.area,dry.focal.wt,fresh.focal.wt,sla,stem.wt,leaf.wt,roots.wt,nod.wt,biomass,n.leaf,c.leaf,Aamb,TPU,Vcmax,Jmax,Tleaf,TleafK
3,210 ppm,zero,one,3,Cotton,0.0223,2,0.201,0.203,0.202,0.514,0.515,0.516,302.508,71.504,0.3165,1.1553,225.9210111,1.1627,1.3502,0.538,0,3.0509,4.034672991,41.67711315,19.39189663,19.22350365,123.6031785,134.7937261,25.03231232,298.1823123
4,210 ppm,thirty,one,3,Cotton,0.0215,1.919,0.143,0.154,0.164,0.359,0.367,0.372,267.14,58.278,0.1939,0.9062,300.5569881,0.4766,0.9248,0.1283,0,1.5297,4.617125071,38.35216518,14.49893728,19.14558692,80.20261755,114.9391788,24.97810059,298.1281006
1,210 ppm,fifty,one,3,Cotton,0.0229,1.984,0.148,0.142,0.153,0.357,0.341,0.357,302.38,53.264,0.211,0.9617,252.436019,0.6324,1.1527,0.136,0,1.9211,4.108896008,35.84283251,12.98086986,13.28466177,68.35166628,83.28090887,24.96701202,298.117012
2,210 ppm,eighty,one,3,Cotton,0.0275,1.886,0.22,0.205,0.223,0.542,0.518,0.535,65.389,21.792,0.0679,0.3806,320.9425626,0.206,0.2138,0.0656,0,0.4854,3.896142637,34.77599824,10.92473387,11.13471806,59.38798919,69.67579549,24.93993813,298.0899381
3,630 ppm,zero,one,3,Cotton,0.0234,1.947,0.212,0.213,0.214,0.56,0.559,0.561,366.114,67.371,0.2777,1.149,242.603529,0.9335,1.6374,0.272,0,2.8429,4.72594783,37.81156298,13.85703366,21.59162432,90.97686721,126.4567852,25.11191261,298.2619126
4,630 ppm,thirty,one,3,Cotton,0.0239,2.011,0.22,0.232,0.233,0.542,0.555,0.562,291.87,51.804,0.2702,1.3688,191.7246484,0.6702,0.9647,0.293,0,1.9279,3.80579906,36.6237921,14.58610151,14.28557964,73.3604026,89.4798847,25.03366657,298.1836666
1,630 ppm,fifty,one,3,Cotton,0.0233,1.992,0.244,0.225,0.225,0.588,0.59,0.566,202.079,43.793,0.2041,0.7157,214.566389,0.6003,0.803,0.1823,0,1.5856,2.959015599,31.79307688,13.97738952,15.12815688,66.1813182,87.7404988,24.42616686,297.5761669
2,630 ppm,eighty,one,3,Cotton,0.0189,1.81,0.186,0.185,0.199,0.484,0.483,0.52,138.957,48.991,0.1494,0.8042,327.91834,0.2667,0.4047,0.0493,0,0.7207,3.902348267,31.57028641,11.42662188,11.40300984,65.89636077,70.59680101,25.69081466,298.8408147
3,0 ppm,zero,one,4,Cotton,0.0285,2.031,0.18,0.189,0.178,0.442,0.458,0.441,123.017,30.091,0.1516,0.5015,198.4894459,0.5221,0.5923,0.1995,0,1.3139,2.000393804,39.55173325,11.82457826,12.72518424,57.77025752,78.21593338,24.96958739,298.1195874
4,0 ppm,thirty,one,4,Cotton,0.0275,2.047,0.233,0.222,0.22,0.58,0.561,0.56,219.342,49.463,0.2244,0.8556,220.4233512,0.9457,0.9738,0.398,0,2.3175,2.582705676,35.52565935,14.57461862,13.62085979,74.78142304,88.26176799,25.01579355,298.1657935
1,0 ppm,fifty,one,4,Cotton,0.0195,2.097,0.158,0.149,0.145,0.323,0.314,0.343,106.739,13.365,0.0408,0.1613,327.5735294,0.3009,0.4376,0.1634,0,0.9019,4.045314709,41.73101639,3.798925515,8.761330215,25.31909526,50.79274698,24.99101936,298.1410194
2,0 ppm,eighty,one,4,Cotton,0.0164,1.83,0.155,0.158,0.157,0.385,0.407,0.385,212.339,27.321,0.0875,0.3333,312.24,0.6147,0.6649,0.1312,0,1.4108,3.012928817,38.24279026,6.129978205,6.735497005,31.34728707,41.53982835,24.92294106,298.0729411
3,70 ppm,zero,one,4,Cotton,0.0329,1.922,0.198,0.204,0.213,0.506,0.517,0.52,260.914,53.621,0.277,1.0254,193.5776173,1.679,1.3291,0.7526,0,3.7607,2.797097466,39.64140426,22.3551431,22.04968816,134.9045275,143.7015188,26.55917361,299.7091736
4,70 ppm,thirty,one,4,Cotton,0.0253,1.922,0.179,0.164,0.169,0.426,0.409,0.415,265.386,43.102,0.1829,0.6992,235.65883,1,1.1793,0.2676,0,2.4469,2.751278024,38.31099763,14.1889867,15.7356012,80.77448271,92.99649757,25.99970352,299.1497035
1,70 ppm,fifty,one,4,Cotton,0.0205,2.041,0.202,0.179,0.183,0.467,0.442,0.446,126.265,38.86,0.1341,0.4576,289.7837435,0.3963,0.5003,0.1665,0,1.0631,2.257395634,40.30423963,10.28045731,12.25697603,52.47059085,69.94049342,26.39766774,299.5476677
2,70 ppm,eighty,one,4,Cotton,0.0202,1.882,0.163,0.191,0.168,0.414,0.442,0.418,112.907,32.185,0.0877,0.4383,366.9897377,0.247,0.3614,0.0445,0,0.6529,3.636921005,33.9368097,11.30228378,8.393537115,43.5412468,55.7475078,22.53137302,295.681373
3,210 ppm,zero,one,4,Cotton,0.0314,2.114,0.224,0.214,0.208,0.574,0.563,0.559,296.823,87.722,0.4364,1.6146,201.0128323,1.3357,1.5162,0.5184,0,3.3703,5.538008913,53.26506008,18.04615949,14.41677923,114.4780904,109.3342443,24.98499619,298.1349962
4,210 ppm,thirty,one,4,Cotton,0.025,1.986,0.159,0.17,0.152,0.404,0.413,0.396,139.917,48.388,0.149,0.7442,324.7516779,0.3607,0.5192,0.0549,0,0.9348,4.532122651,37.71375282,14.710131,14.4730295,78.89743031,92.61795347,24.98168182,298.1316818
1,210 ppm,fifty,one,4,Cotton,0.0246,2.012,0.213,0.171,0.177,0.441,0.449,0.433,271.213,63.154,0.2237,0.9416,282.3156013,0.6514,1.0465,0.147,0,1.8449,4.04849693,36.2770344,12.04852804,14.12244486,61.58961215,79.78635751,26.2110698,299.3610698
2,210 ppm,eighty,one,4,Cotton,0.0256,1.885,0.176,0.181,0.186,0.438,0.444,0.448,175.781,71.246,0.1675,1.1314,425.3492537,0.4236,0.546,0.0747,0,1.0443,4.31297155,35.20314341,11.2486609,5.946319959,45.15975212,50.62261679,22.91414135,296.0641414
3,630 ppm,zero,one,4,Cotton,0.0258,1.93,0.238,0.241,0.24,0.615,0.634,0.616,380.98,63.707,0.2687,1.0758,237.0934127,1.2681,1.7241,0.4559,0,3.4481,4.28239071,39.47476758,20.61781298,18.33284134,119.2153021,125.3888476,25.75530147,298.9053015
4,630 ppm,thirty,one,4,Cotton,0.0246,1.991,0.208,0.202,0.191,0.491,0.495,0.497,478.587,96.606,0.3606,1.4823,267.9034942,1.2771,1.8685,0.2896,0,3.4352,4.014556188,37.10946428,17.1116966,16.94337745,118.026028,112.1253821,26.6208824,299.7708824
1,630 ppm,fifty,one,4,Cotton,0.0251,2.011,0.17,0.197,0.174,0.431,0.46,0.435,253.05,33.82,0.133,0.5783,254.2857143,0.6767,1.1511,0.1627,0,1.9905,4.423322098,32.97612169,9.769303503,13.60153051,52.29164659,67.83491067,24.83250235,297.9825023
2,630 ppm,eighty,one,4,Cotton,0.0213,2.146,0.169,0.174,0.202,0.466,0.432,0.443,185.753,70.037,0.1999,0.997,350.3601801,0.4818,0.5608,0.0965,0,1.1391,3.988257459,34.04679838,9.752869688,8.587522521,49.71176566,57.92770622,24.96006158,298.1100616
3,0 ppm,zero,one,5,Soybean,0.0156,1.61,0.15,0.15,0.153,0.436,0.438,0.439,216.14,14.893,0.0504,0.1679,295.4960317,0.4339,0.6742,0.3226,0.0401,1.4307,4.158044116,42.01851125,11.57227555,17.44858826,81.41282812,96.47078517,27.20333959,300.3533396
4,0 ppm,thirty,one,5,Soybean,0.0174,1.82,0.109,0.108,0.108,0.32,0.318,0.318,322.528,24.927,0.0601,0.26,414.7587354,0.4071,0.789,0.2155,0.0413,1.4116,5.157539935,42.48063374,13.76494065,20.88881302,82.49595241,110.4687662,27.05825279,300.2082528
1,0 ppm,fifty,one,5,Soybean,0.0116,1.523,0.126,0.134,0.129,0.372,0.378,0.371,294.331,29.522,0.0618,0.2535,477.7022654,0.5494,0.7892,0.1741,0.0678,1.5127,5.047432165,43.08459229,12.98066185,17.12637802,82.15480698,96.18468773,27.29998417,300.4499842
2,0 ppm,eighty,one,5,Soybean,0.0096,1.654,0.099,0.134,0.109,0.283,0.327,0.317,192.667,29.273,0.0486,0.1886,602.3251029,0.3086,0.356,0.107,0.0162,0.7716,4.675860813,42.77940732,11.71291226,13.85875072,57.76165223,75.9740061,25.10977801,298.259778
3,70 ppm,zero,one,5,Soybean,0.0121,1.474,0.117,0.103,0.108,0.336,0.318,0.321,218.807,29.606,0.0693,0.2559,427.2150072,0.3556,0.5699,0.2087,0.0433,1.1342,3.880112209,34.47932133,17.91587197,22.12142395,108.3053513,125.2470661,26.40470293,299.5547029
4,70 ppm,thirty,one,5,Soybean,0.153,1.806,0.091,0.091,0.09,0.269,0.268,0.271,227.14,21.178,0.0491,0.2154,431.3238289,0.4045,0.6014,0.1592,0.024,1.1651,4.820253971,42.91017669,10.49291131,17.51133402,49.16491029,96.84803263,25.39125865,298.5412587
1,70 ppm,fifty,one,5,Soybean,0.0148,1.71,0.146,0.145,0.148,0.442,0.441,0.445,258.84,22.666,0.0553,0.2227,409.8734177,0.4862,0.7105,0.2272,0.0277,1.4239,6.014599012,51.81236455,10.75309394,14.11910797,84.32745617,83.90643547,28.01521114,301.1652111
2,70 ppm,eighty,one,5,Soybean,0.0108,1.786,0.05,0.052,0.042,0.169,0.169,0.132,244.051,13.45,0.025,0.1019,538,0.384,0.4558,0.1392,0.0084,0.979,5.679425123,43.14134014,7.615095372,10.40133249,47.30750872,58.11822726,26.94477566,300.0947757
3,210 ppm,zero,one,5,Soybean,0.0198,1.876,0.135,0.138,0.147,0.398,0.4,0.408,411.903,13.415,0.0473,0.1741,283.615222,0.8072,1.2833,0.5629,0.0145,2.6534,3.994680166,40.67715649,8.17061629,18.30886743,69.97525763,107.2093199,28.15335924,301.3033592
4,210 ppm,thirty,one,5,Soybean,0.0174,1.975,0.121,0.126,0.124,0.357,0.362,0.355,406.199,13.791,0.0458,0.1632,301.1135371,0.8131,1.2051,0.37,0.0186,2.3882,4.546141717,42.16685296,10.30455242,15.49207679,60.66312707,87.30390772,25.22891437,298.3789144
1,210 ppm,fifty,one,5,Soybean,0.0119,1.498,0.133,0.117,0.118,0.364,0.34,0.341,428.59,24.838,0.0538,0.2329,461.6728625,0.7114,0.9999,0.1762,0.0061,1.8875,5.354270441,43.38466428,13.95983538,18.33636462,72.61329894,95.34430792,26.6514915,299.8014915
2,210 ppm,eighty,one,5,Soybean,0.0096,1.809,0.052,0.052,0.05,0.151,0.146,0.15,207.714,21.857,0.0308,0.1524,709.6428571,0.3689,0.4348,0.0667,0.0057,0.8704,4.853943851,41.84037959,7.92792347,12.31344768,59.05664696,66.60320813,28.18415631,301.3341563
3,630 ppm,zero,one,5,Soybean,0.0177,1.769,0.174,0.175,0.173,0.509,0.516,0.513,223.692,23.769,0.0776,0.2569,306.3015464,0.5869,0.7686,0.5081,0.0124,1.8636,4.208642802,37.26851895,18.39958359,26.47686496,158.2242604,159.907625,28.08451261,301.2345126
4,630 ppm,thirty,one,5,Soybean,0.0209,1.996,0.152,0.122,0.125,0.415,0.367,0.373,353.456,24.98,0.0788,0.2831,317.0050761,0.7476,1.1369,0.4037,0.0077,2.2882,5.571831376,42.94987798,11.52148933,19.98898242,77.97572707,112.1507576,25.66478504,298.814785
1,630 ppm,fifty,one,5,Soybean,0.0163,1.893,0.164,0.152,0.153,0.439,0.43,0.431,377.343,14.13,0.0427,0.1453,330.9133489,0.7522,1.0431,0.2082,0.009,2.0035,5.092801736,42.93933457,10.90705572,17.39891486,87.49664732,95.0802499,27.9996783,301.1496783
2,630 ppm,eighty,one,5,Soybean,0.0115,1.7,0.083,0.092,0.093,0.25,0.278,0.278,260.906,16.753,0.0282,0.1288,594.0780142,0.403,0.4633,0.1001,0,0.9664,3.261592587,25.19383861,9.237316122,14.80522521,63.62380081,73.32110618,27.9893349,301.1393349
3,0 ppm,zero,one,6,Soybean,0.0218,2.085,0.121,0.118,0.136,0.357,0.346,0.389,368.834,12.647,0.0458,0.1637,276.1353712,0.7387,1.1764,0.3425,0.1729,2.2576,5.456027119,41.5708009,11.27358711,16.14916713,58.6324683,90.39899564,25.01791789,298.1679179
4,0 ppm,thirty,one,6,Soybean,0.0152,1.959,0.084,0.086,0.124,0.281,0.282,0.313,145.327,18.866,0.0432,0.184,436.712963,0.2246,0.3681,0.1533,0.053,0.746,4.734671635,42.4384628,15.62157091,20.21912258,94.4676019,113.3358985,25.44005103,298.590051
1,0 ppm,fifty,one,6,Soybean,0.0124,2.009,0.127,0.126,0.13,0.381,0.381,0.385,296.645,31.907,0.0549,0.2533,581.1839709,0.6312,0.6526,0.1455,0.083,1.4293,4.80625487,38.66697728,10.09905541,11.65870544,60.61968961,67.95634114,25.31036276,298.4603628
2,0 ppm,eighty,one,6,Soybean,0.0101,1.843,0.104,0.107,0.096,0.316,0.322,0.317,239.429,32.231,0.0564,0.2133,571.4716312,0.4275,0.4793,0.1279,0.04,1.0347,4.812124982,44.17544979,6.929142264,8.994318738,42.58922136,46.42368522,27.00102669,300.1510267
3,70 ppm,zero,one,6,Soybean,0.0191,2.006,0.132,0.13,0.136,0.382,0.38,0.399,394.49,32.46,0.1086,0.4018,298.8950276,0.8387,1.2566,0.4547,0.1148,2.55,4.763577147,42.39805535,15.37099171,21.83742223,92.66022472,124.4958447,25.0320566,298.1820566
4,70 ppm,thirty,one,6,Soybean,0.0144,1.83,0.085,0.085,0.087,0.273,0.274,0.274,481.313,31.318,0.0754,0.3022,415.3580902,0.8083,1.1249,0.2421,0.1168,2.1753,5.512989287,41.73778498,13.27962289,20.45816387,92.35770608,111.4200813,26.70679648,299.8567965
1,70 ppm,fifty,one,6,Soybean,0.0146,1.755,0.0126,0.125,0.13,0.37,0.369,0.374,309.549,31.3,0.0571,0.2343,548.1611208,0.8,0.8,0.3361,0.0092,1.9361,5.08298504,40.3725419,11.62128812,14.20190226,57.06970948,80.44510023,25.08303343,298.2330334
2,70 ppm,eighty,one,6,Soybean,0.01,1.866,0.07,0.072,0.07,0.215,0.217,0.215,247.998,19.173,0.0248,0.134,773.1048387,0.3387,0.3628,0.0473,0.005,0.7488,5.105974235,41.71825302,7.968343003,10.10488974,50.06206475,54.83780591,27.63562317,300.7856232
3,210 ppm,zero,one,6,Soybean,0.0207,2.095,0.121,0.127,0.144,0.362,0.369,0.389,253.609,10.677,0.0377,0.1385,283.2095491,0.7074,0.8962,0.4789,0,2.0825,5.26040666,42.84032866,11.09122011,16.81977315,67.0411429,94.44726523,25.04773607,298.1977361
4,210 ppm,thirty,one,6,Soybean,0.0189,2.029,0.129,0.147,0.128,0.411,0.431,0.41,587.818,28.533,0.0888,0.346,321.3175676,1.1924,1.7212,0.57,0.0072,3.4836,4.240691326,41.75809855,12.46412113,19.12910706,94.97659661,105.9855692,27.59583959,300.7458396
